"","Year","Temp"
"1",1750,NA
"2",1751,NA
"3",1752,NA
"4",1753,8.38808333333333
"5",1754,8.46933333333333
"6",1755,8.35558333333333
"7",1756,8.84958333333333
"8",1757,9.022
"9",1758,6.74358333333333
"10",1759,7.98508333333333
"11",1760,7.18516666666667
"12",1761,8.7725
"13",1762,8.6065
"14",1763,7.49675
"15",1764,8.40033333333333
"16",1765,8.25191666666667
"17",1766,8.40566666666667
"18",1767,8.2215
"19",1768,6.78133333333333
"20",1769,7.69458333333333
"21",1770,7.69191666666667
"22",1771,7.85316666666667
"23",1772,8.1935
"24",1773,8.2215
"25",1774,8.77216666666667
"26",1775,9.18308333333333
"27",1776,8.304
"28",1777,8.25625
"29",1778,8.54225
"30",1779,8.98325
"31",1780,9.43291666666667
"32",1781,8.10258333333333
"33",1782,7.90125
"34",1783,7.68083333333333
"35",1784,7.862
"36",1785,7.363
"37",1786,8.25816666666667
"38",1787,8.03183333333333
"39",1788,8.44716666666667
"40",1789,8.33416666666667
"41",1790,7.98233333333333
"42",1791,8.23425
"43",1792,8.089
"44",1793,8.22916666666667
"45",1794,8.526
"46",1795,8.35033333333333
"47",1796,8.271
"48",1797,8.51058333333333
"49",1798,8.67025
"50",1799,8.50575
"51",1800,8.48425
"52",1801,8.58966666666667
"53",1802,8.57816666666667
"54",1803,8.503
"55",1804,8.84483333333333
"56",1805,8.56275
"57",1806,8.43408333333333
"58",1807,8.28141666666667
"59",1808,7.62683333333333
"60",1809,7.07641666666667
"61",1810,6.92266666666667
"62",1811,6.8595
"63",1812,7.04625
"64",1813,7.73991666666667
"65",1814,7.59175
"66",1815,7.23933333333333
"67",1816,6.9375
"68",1817,6.97566666666667
"69",1818,7.82891666666667
"70",1819,7.36916666666667
"71",1820,7.61625
"72",1821,8.09008333333333
"73",1822,8.18833333333333
"74",1823,7.71866666666667
"75",1824,8.54716666666667
"76",1825,8.38933333333333
"77",1826,8.35658333333333
"78",1827,8.80875
"79",1828,8.16533333333333
"80",1829,7.94183333333333
"81",1830,8.51675
"82",1831,7.63916666666667
"83",1832,7.45016666666667
"84",1833,8.013
"85",1834,8.14675
"86",1835,7.3925
"87",1836,7.69583333333333
"88",1837,7.37566666666667
"89",1838,7.51491666666667
"90",1839,7.63225
"91",1840,7.79625
"92",1841,7.68816666666667
"93",1842,8.02275
"94",1843,8.17366666666667
"95",1844,7.64633333333333
"96",1845,7.85116666666667
"97",1846,8.55275
"98",1847,8.086
"99",1848,7.9795
"100",1849,7.98441666666667
"101",1850,7.90066666666667
"102",1851,8.17858333333333
"103",1852,8.10016666666667
"104",1853,8.04183333333333
"105",1854,8.2105
"106",1855,8.11075
"107",1856,7.99591666666667
"108",1857,7.75816666666667
"109",1858,8.10025
"110",1859,8.252
"111",1860,7.96083333333333
"112",1861,7.8465
"113",1862,7.55858333333333
"114",1863,8.11183333333333
"115",1864,7.98358333333333
"116",1865,8.17783333333333
"117",1866,8.29216666666667
"118",1867,8.43633333333333
"119",1868,8.24791666666667
"120",1869,8.43208333333333
"121",1870,8.20133333333333
"122",1871,8.11508333333333
"123",1872,8.19383333333333
"124",1873,8.35108333333333
"125",1874,8.4335
"126",1875,7.85958333333333
"127",1876,8.08008333333333
"128",1877,8.53958333333333
"129",1878,8.82975
"130",1879,8.16583333333333
"131",1880,8.11875
"132",1881,8.27091666666667
"133",1882,8.12891666666667
"134",1883,7.97691666666667
"135",1884,7.77366666666667
"136",1885,7.91966666666667
"137",1886,7.9545
"138",1887,7.91491666666667
"139",1888,8.0905
"140",1889,8.319
"141",1890,7.97166666666667
"142",1891,8.01933333333333
"143",1892,8.06583333333333
"144",1893,8.05675
"145",1894,8.161
"146",1895,8.147
"147",1896,8.21491666666667
"148",1897,8.29333333333333
"149",1898,8.178
"150",1899,8.39633333333333
"151",1900,8.50158333333333
"152",1901,8.54191666666667
"153",1902,8.30441666666667
"154",1903,8.22016666666667
"155",1904,8.09091666666667
"156",1905,8.22516666666667
"157",1906,8.37908333333333
"158",1907,7.94716666666667
"159",1908,8.18608333333333
"160",1909,8.17825
"161",1910,8.223
"162",1911,8.177
"163",1912,8.16541666666667
"164",1913,8.29775
"165",1914,8.5905
"166",1915,8.59316666666667
"167",1916,8.22525
"168",1917,8.02333333333333
"169",1918,8.13083333333333
"170",1919,8.38225
"171",1920,8.35875
"172",1921,8.571
"173",1922,8.408
"174",1923,8.42216666666667
"175",1924,8.50683333333333
"176",1925,8.53441666666667
"177",1926,8.72883333333333
"178",1927,8.52208333333333
"179",1928,8.63216666666667
"180",1929,8.24241666666667
"181",1930,8.63358333333333
"182",1931,8.71925
"183",1932,8.70525
