sep=,
continent,year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
Africa,1900,1,11000,,,,,
Africa,1903,1,,,,,,
Africa,1906,1,,,,,,
Africa,1910,9,85000,,32000,,32000,
Africa,1920,1,24000,,,,,
Africa,1927,1,3000,,,,,
Africa,1940,9,20000,,,,,
Africa,1946,1,30000,,,,,
Africa,1948,1,165,,,,,
Africa,1951,2,631,,,,,
Africa,1952,2,60,,,,,
Africa,1954,2,30,,,,,
Africa,1956,1,107,,,,,
Africa,1959,1,51,,,,,
Africa,1960,1,42,,,,,
Africa,1961,1,200,,,,,
Africa,1962,1,40,,,,,
Africa,1963,3,169,10,80400,,80410,
Africa,1964,7,175,,751000,3900,754900,3000
Africa,1965,6,2075,,1913813,,1913813,5000
Africa,1966,9,57,27,22000,15900,37927,10250
Africa,1967,7,174,24,180183,3668,183875,188700
Africa,1968,10,224,,601600,16168,617768,112270
Africa,1969,10,697,277,6788569,3000,6791846,308000
Africa,1970,4,81,3,364041,,364044,43600
Africa,1971,7,500,,1499000,,1499000,3900
Africa,1972,6,93,72,2641000,10000,2651072,12470
Africa,1973,6,100132,,3142240,66000,3208240,91000
Africa,1974,6,19062,,2216000,18000,2234000,34000
Africa,1975,10,54,109,1094199,,1094308,203600
Africa,1976,4,16,26,3670000,28850,3698876,17000
Africa,1977,17,437,151,4800400,84900,4885451,718000
Africa,1978,15,296,1100,1069000,34000,1104100,144700
Africa,1979,13,74,257,7817310,5732,7823299,189000
Africa,1980,11,35,,8502000,,8502000,67000
Africa,1981,16,103284,100,8105900,1085,8107085,251125
Africa,1982,19,325,136,2869400,152216,3021752,344973
Africa,1983,24,450586,253,34573910,30000,34604163,121160
Africa,1984,19,437,215,4812000,1970,4814185,521152
Africa,1985,16,110,,1484500,166972,1651472,18868
Africa,1986,5,122,424,962108,8500,971032,150000
Africa,1987,13,1606,14,13156267,83700,13239981,776305
Africa,1988,29,811,105,5495949,1347500,6843554,10357
Africa,1989,22,383,868,10194785,100000,10295653,116336
Africa,1990,15,317,500,9725900,32868,9759268,684819
Africa,1991,19,567,322,24783000,276900,25060222,1174000
Africa,1992,6,39,8,7431500,2250,7433758,900
