sep=,
year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
1900,1,6000,,,,,30000
1903,3,348,,,,,480000
1906,2,298,,,,,
1909,3,463,,,,,
1910,1,30,,,,,
1913,1,732,,,,,200000
1915,1,525,,,,,60000
1918,2,1034,,,,,100000
1919,1,500,,,,,25000
1920,1,224,,,,,
1925,1,739,,,,,18000
1926,2,268,,,,,73000
1927,2,333,,,,,22230
1928,1,1836,,,,,25000
1932,2,372,,,,,
1933,2,40,,,,,
1935,1,408,,,,,6000
1936,3,1848,,,,,21000
1937,1,137,,,,,438000
1938,2,800,,,,,306000
1940,1,50,,,,,
1943,1,,,,,,900000
1944,2,511,,,,,100000
1945,3,196,,,,,
1946,1,33,,,,,
1947,5,308,,,,,130000
1948,2,97,,,,,
1949,2,87,,,,,
1950,4,305,,,,,100000
1951,3,110,,,,,1129000
1952,2,279,,,,,
1953,6,468,,,,,52000
1954,3,223,,,,,731000
1955,6,546,,,,,832000
1956,4,243,,,,,
1957,3,469,,,,,150000
1958,4,139,,,,,520000
1959,1,71,,,,,
1960,1,50,,,,,387000
1961,2,146,,,,,408000
1962,3,158,,,,,350000
1963,3,379,,,,,
1964,5,292,,,,,1070000
1965,2,570,1000,,,1000,1610000
1966,6,552,,,,,100000
1967,5,275,,,,,200000
1968,3,159,,458,,458,8000
1969,7,830,,,,,1820000
1970,3,37,,,,,697000
1971,2,158,,,,,
1972,5,903,,3000,,3000,2220000
1973,5,128,,246,,246,550000
1974,2,352,,,,,1000000
1975,4,102,,200,,200,550000
1976,1,139,,,,,41000
1977,6,231,,2700,,2700,3000000
1978,5,242,,,,,100000
1979,4,186,160,2000,,2160,2863000
1980,7,1308,170,111000,6400,117570,3260000
1981,4,60,,,,,861000
1982,13,514,,36000,15500,51500,2145900
1983,9,330,,,6000,6000,5055000
1984,14,545,657,14000,5500,20157,2610600
1985,15,375,500,1005550,20000,1026050,5094100
1986,6,62,80,2000,,2080,1845000
1987,9,231,,3200,,3200,204000
1988,22,27,,,,,
1989,17,192,100,,25000,25100,7880000
1990,21,211,,14018,,14018,720000
1991,35,130,100,2900,300,3300,7245000
1992,29,95,55,45450,250540,296045,34675000
1993,28,440,430,43900,300,44630,18415000
1994,14,215,522,35825,1030,37377,1552000
1995,18,879,160,199300,2000,201460,16890000
1996,15,360,181,247115,,247296,6128500
1997,33,252,246,196620,400,197266,9589500
1998,32,366,619,224579,6644,231842,15671550
1999,22,485,929,3051851,7209,3059989,14792800
2000,30,162,353,56264,6270,62887,5751600
2001,26,152,261,128833,75898,204992,6361800
2002,29,230,328,167400,3409,171137,10820100
2003,22,229,580,258195,15981,274756,18771400
2004,20,219,62,5099440,1035,5100537,55730270
2005,16,1973,47,848415,1542,850004,159060330
2006,28,326,286,79455,267,80008,6272360
2007,23,333,521,666470,1127,668118,9663000
2008,21,303,765,13388050,300,13389115,57864000
2009,17,145,247,9750,1326,11323,12256000
2010,15,138,241,11700,,11941,9150000
2011,23,809,3598,395700,32100,431398,59433000
2012,25,318,437,91409,1305,93151,98471000
2013,28,212,1002,205325,8247,214574,17787400
2014,19,204,51,103563,180,103794,16078000
2015,29,319,234,33600,12756,46590,21474000
2016,26,269,289,85110256,8375,85118920,44000000
2017,23,283,550,757169,109336,867055,188010000
2018,4,47,28,921,,949,2500000


"Created on: May 17, 2018"
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium"
